x,y
1.0,0.001299999999999999
0.95,0.0114
0.9,0.0208
0.8,0.0375
0.7,0.0518
0.6,0.0636
0.5,0.0724
0.4,0.078
0.3,0.0788
0.25,0.0767
0.2,0.0726
0.14999999999999997,0.0661
0.10000000000000003,0.0563
0.07500000000000001,0.0496
0.04999999999999999,0.0413
0.025000000000000022,0.0299
0.012500000000000011,0.0215
0.0,0.0
0.012500000000000011,-0.0165
0.025000000000000022,-0.022699999999999998
0.04999999999999999,-0.030100000000000002
0.07500000000000001,-0.0346
0.10000000000000003,-0.0375
0.14999999999999997,-0.041
0.2,-0.0423
0.25,-0.0422
0.3,-0.0412
0.4,-0.038
0.5,-0.0334
0.6,-0.0276
0.7,-0.021400000000000002
0.8,-0.015
0.9,-0.008199999999999999
0.95,-0.004799999999999999
1.0,-0.001299999999999999
