x,y
0.9150495098393885,-0.2970938311215674
0.8767982396501666,-0.26334697454334455
0.8381969694609448,-0.23020633574777088
0.7599444290825009,-0.1657437115045708
0.680491888704057,-0.10335954823045329
0.5997893483256131,-0.04314044846579692
0.5175868079471693,0.014480575087506121
0.4337842675687254,0.06933031734869896
0.3475817271902815,0.12002313767172652
0.3032304570010596,0.1432044843237792
0.25787918681183764,0.164653780168263
0.21132791662261569,0.18402461504366413
0.1631266464333938,0.20053756608657664
0.13812601133878283,0.20723519588122086
0.11232537624417183,0.21254718502981007
0.08497474114956088,0.21517449542666744
0.06994942360225542,0.21414988203487817
0.048374106054949906,0.20178033585351274
0.050949423602255406,0.1812409166910695
0.058674741149560894,0.16962155918760596
0.07662537624417187,0.15071297119960114
0.09602601133878286,0.13431585688257114
0.11622664643339381,0.11930438321159627
0.1577779166226157,0.09127329429835077
0.2004291868118377,0.06514746127343098
0.2437804570010596,0.04023406381380943
0.2875817271902815,0.01610008921759387
0.3757842675687254,-0.031128629490295934
0.46468680794716927,-0.0771449126328875
0.5541893483256131,-0.12212196529093773
0.643891888704057,-0.1667526077874742
0.7336944290825009,-0.21121004520325382
0.8236969694609448,-0.2553210724575196
0.8686982396501666,-0.2773765860846525
0.9137495098393886,-0.29934549717140696
